date,name,venue,capacity,Lat,Long
4/14/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/27/2016,The Who,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/29/2016,Hedley,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/2/2016,Hillsong United,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/10/2016,Pearl Jam[157],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/12/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/18/2016,Justin Bieber[158],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/19/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/25/2016,Selena Gomez[160],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/28/2016,Carrie Underwood,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/19/2016,Ellie Goulding[162],scotiabank arena,19800,"43.6435° N,",79.3791° W
6/29/2016,Sting and Peter Gabriel,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/19/2016,Marilyn Manson and Slipknot,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/23/2016,Demi Lovato and Nick Jonas[164],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/31/2016,Drake and Future,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/1/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/10/2016,The Tragically Hip,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/12/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/14/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/21/2016,Shawn Mendes,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/23/2016,Barbra Streisand,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/30/2016,Kanye West[166],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/31/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/6/2016,Puff Daddy,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/3/2016,Adele[168],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/4/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/6/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/7/2016,,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/8/2016,Drake and Future,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/22/2016,Sia,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/3/2016,The 1975,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/7/2016,Pentatonix,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/14/2016,Maxwell and Mary J. Blige,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/23/2016,Trans-Siberian Orchestra,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/29/2016,Stevie Nicks and The Pretenders,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/16/2017,Kings of Leon,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/4/2017,Red Hot Chili Peppers[173],scotiabank arena,19800,"43.6435° N,",79.3791° W
2/16/2017,Amy Schumer[174],scotiabank arena,19800,"43.6435° N,",79.3791° W
2/27/2017,Billy Talent[175],scotiabank arena,19800,"43.6435° N,",79.3791° W
3/2/2017,Eric Church[176],scotiabank arena,19800,"43.6435° N,",79.3791° W
3/4/2017,Ramin Djawadi,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/5/2017,Ariana Grande[179],scotiabank arena,19800,"43.6435° N,",79.3791° W
3/17/2017,Simple Plan,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/24/2017,Bastille[182],scotiabank arena,19800,"43.6435° N,",79.3791° W
4/3/2017,John Mayer[183][184],scotiabank arena,19800,"43.6435° N,",79.3791° W
4/10/2017,Bon Jovi[185],scotiabank arena,19800,"43.6435° N,",79.3791° W
4/11/2017,Bon Jovi[185],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/5/2017,Kurt Browning,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/6/2017,Patrick Chan,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/7/2017,Elvis Stojko,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/8/2017,Jeffrey Buttle,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/9/2017,Meagan Duhamel & Eric Radford,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/10/2017,Tessa Virtue & Scott Moir,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/11/2017,Kaetlyn Osmond,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/16/2017,Future[187],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/26/2017,The Weeknd[188],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/27/2017,The Weeknd[188],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/30/2017,The Chainsmokers[189][190],scotiabank arena,19800,"43.6435° N,",79.3791° W
6/7/2017,Neil Diamond[191],scotiabank arena,19800,"43.6435° N,",79.3791° W
6/19/2017,Hall & Oates,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/20/2017,Tears For Fears,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/20/2017,New Kids on the Block,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/21/2017,Paula Abdul,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/21/2017,Boyz II Men[193],scotiabank arena,19800,"43.6435° N,",79.3791° W
6/23/2017,Tim McGraw,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/24/2017,Faith Hill[195],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/5/2017,Bob Dylan[197],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/6/2017,Pitbull,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/7/2017,Enrique Iglesias[198],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/7/2017,Ed Sheeran[199],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/8/2017,Ed Sheeran[199],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/10/2017,Gorillaz[201],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/15/2017,Tom Petty and the Heartbreakers[202],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/18/2017,Queen + Adam Lambert[203],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/25/2017,Kendrick Lamar[204],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/28/2017,J. Cole[206],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/29/2017,J. Cole[206],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/30/2017,G-Dragon[207],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/1/2017,Hans Zimmer[208],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/11/2017,Shawn Mendes,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/12/2017,,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/13/2017,"Earth, Wind & Fire",scotiabank arena,19800,"43.6435° N,",79.3791° W
8/14/2017,Nile Rodgers[212],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/23/2017,Kendrick Lamar[213],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/24/2017,Lionel Richie,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/25/2017,Mariah Carey,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/26/2017,Bruno Mars[214],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/27/2017,Bruno Mars[214],scotiabank arena,19800,"43.6435° N,",79.3791° W
9/2/2017,Nicky Jam,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/3/2017,Depeche Mode[217],scotiabank arena,19800,"43.6435° N,",79.3791° W
6/9/2017,Lady Gaga[219],scotiabank arena,19800,"43.6435° N,",79.3791° W
9/7/2017,Lady Gaga[219],scotiabank arena,19800,"43.6435° N,",79.3791° W
9/9/2017,The Weeknd,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/12/2017,Katy Perry[221],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/2/2017,Roger Waters[223],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/3/2017,Roger Waters[223],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/4/2017,Halsey[226],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/13/2017,Roger Waters,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/14/2017,Pitbull,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/15/2017,Enrique Iglesias,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/25/2017,Fall Out Boy[227],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/29/2017,Guns N' Roses,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/30/2017,Guns N' Roses,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/31/2017,Katy Perry,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/1/2017,Katy Perry,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/2/2017,Janet Jackson[229],scotiabank arena,19800,"43.6435° N,",79.3791° W
11/3/2017,Arcade Fire[230],scotiabank arena,19800,"43.6435° N,",79.3791° W
11/4/2017,Arcade Fire[230],scotiabank arena,19800,"43.6435° N,",79.3791° W
11/11/2017,Chris Rock[232],scotiabank arena,19800,"43.6435° N,",79.3791° W
11/15/2017,A Perfect Circle,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/22/2017,Jay-Z[234],scotiabank arena,19800,"43.6435° N,",79.3791° W
11/23/2017,,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/3/2017,LCD Soundsystem,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/5/2018,The Killers,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/15/2018,Lana Del Rey[236],scotiabank arena,19800,"43.6435° N,",79.3791° W
2/16/2018,Kid Rock,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/2/2018,Romeo Santos,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/15/2018,Justin Timberlake,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/15/2018,Justin Timberlake,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/19/2018,Demi Lovato[239],scotiabank arena,19800,"43.6435° N,",79.3791° W
3/20/2018,Pink,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/21/2018,Pink,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/22/2018,Rod Stewart,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/29/2018,Lorde[241][242],scotiabank arena,19800,"43.6435° N,",79.3791° W
5/2/2018,Kygo,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/12/2018,Bon Jovi,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/5/2018,Hall & Oates and Train,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/11/2018,Depeche Mode,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/12/2018,Paul Simon,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/16/2018,Harry Styles[247],scotiabank arena,19800,"43.6435° N,",79.3791° W
6/19/2018,Sam Smith[248],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/3/2018,GOT7,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/6/2018,Shania Twain,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/7/2018,,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/15/2018,The Eagles,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/17/2018,The Eagles,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/19/2018,Radiohead[250],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/20/2018,Radiohead[250],scotiabank arena,19800,"43.6435° N,",79.3791° W
7/22/2018,Panic! at the Disco,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/3/2018,Bryan Adams,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/5/2018,Arctic Monkeys,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/7/2018,Shakira,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/8/2018,The Smashing Pumpkins[252],scotiabank arena,19800,"43.6435° N,",79.3791° W
8/18/2018,Electric Light Orchestra,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/21/2018,Drake and Migos,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/22/2018,Drake and Migos,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/10/2018,Donald Glover,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/22/2018,Bruno Mars,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/23/2018,Bruno Mars,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/25/2018,Elton John,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/26/2018,Elton John,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/27/2018,Maroon 5,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/4/2018,J. Cole,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/8/2018,Gorillaz[254],scotiabank arena,19800,"43.6435° N,",79.3791° W
10/9/2018,Justin Timberlake,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/11/2018,Phil Collins,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/16/2018,Florence and the Machine,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/28/2018,Nick Cave and the Bad Seeds,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/5/2018,Fleetwood Mac,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/21/2018,Travis Scott,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/22/2018,The Glorious Sons,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/17/2018,Mumford & Sons,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/18/2018,Mumford & Sons,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/4/2019,Disturbed,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/20/2019,Kiss,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/3/2019,Ariana Grande,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/22/2019,Cher,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/28/2019,Twenty One Pilots,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/25/2019,Hugh Jackman,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/26/2019,Ariana Grande,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/30/2019,GOT7,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/7/2019,Jennifer Lopez,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/8/2019,Jennifer Lopez,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/18/2019,Jeff Lynne's ELO,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/17/2019,Kiss,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/23/2019,Jonas Brothers,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/24/2019,Jonas Brothers,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/22/2019,Elton John,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/23/2019,Elton John,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/1/2019,Fleetwood Mac,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/26/2019,Jonas Brothers,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/29/2019,Cher,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/9/2019,Céline Dion,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/10/2019,Céline Dion,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/28/2021,Harry Styles,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/29/2021,Harry Styles,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/7/2021,Enrique Iglesias & Ricky Martin,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/8/2021,Enrique Iglesias & Ricky Martin,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/21/2021,Maluma,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/15/2021,Dave Chappelle,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/25/2021,Genesis,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/26/2021,Genesis,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/9/2022,Tame Impala,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/11/2022,"Tyler, the Creator",scotiabank arena,19800,"43.6435° N,",79.3791° W
3/14/2022,Bad Bunny,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/25/2022,Justin Bieber,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/29/2022,Sebastian Maniscalco,scotiabank arena,19800,"43.6435° N,",79.3791° W
4/6/2022,Rise Against,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/1/2022,James Taylor,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/2/2022,Jackson Browne,scotiabank arena,19800,"43.6435° N,",79.3791° W
5/3/2022,John Mayer,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/4/2022,Ebi,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/18/2022,Chris Rock,scotiabank arena,19800,"43.6435° N,",79.3791° W
6/25/2022,Diljit Dosanjh,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/2/2022,Eric Church,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/6/2022,Machine Gun Kelly,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/8/2022,Roger Waters,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/9/2022,Roger Waters,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/21/2022,Rage Against the Machine,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/23/2022,Rage Against the Machine,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/27/2022,Dua Lipa,scotiabank arena,19800,"43.6435° N,",79.3791° W
7/28/2022,Russell Peters,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/5/2022,Swedish House Mafia,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/12/2022,Kendrick Lamar,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/13/2022,Kendrick Lamar,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/15/2022,Harry Styles,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/16/2022,Harry Styles,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/19/2022,Greta Van Fleet,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/20/2022,Leon Bridges,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/23/2022,Bill Burr,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/24/2022,Bill Burr,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/27/2022,Twenty One Pilots,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/28/2022,A.R. Rahman,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/30/2022,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
8/31/2022,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/1/2022,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/2/2022,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/3/2022,Seventeen,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/4/2022,My Chemical Romance,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/5/2022,My Chemical Romance,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/7/2022,Roxy Music,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/8/2022,Pearl Jam,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/9/2022,Eagles,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/10/2022,Eagles,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/11/2022,Daddy Yankee,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/14/2022,Kid Cudi,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/18/2022,Karol G,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/20/2022,Post Malone,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/21/2022,Post Malone,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/22/2022,John Mulaney,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/23/2022,The Killers,scotiabank arena,19800,"43.6435° N,",79.3791° W
9/30/2022,Trevor Noah,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/1/2022,Trevor Noah,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/2/2022,The Who,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/5/2022,Bryan Adams,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/6/2022,Gorillaz,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/7/2022,Lizzo,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/11/2022,Iron Maiden,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/12/2022,Michael Bublé,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/16/2022,AP Dhillon,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/24/2022,The Smashing Pumpkins,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/25/2022,Jane's Addiction,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/29/2022,Kevin Hart,scotiabank arena,19800,"43.6435° N,",79.3791° W
10/30/2022,Kevin Hart,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/7/2022,The Offspring,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/10/2022,Marc Anthony,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/14/2022,Luke Combs,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/15/2022,Luke Combs,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/18/2022,Eros Ramazzotti,scotiabank arena,19800,"43.6435° N,",79.3791° W
11/25/2022,Arkells,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/1/2022,Arcade Fire,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/2/2022,Arcade Fire,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/4/2022,Kane Brown,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/9/2022,Mariah Carey,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/11/2022,Mariah Carey,scotiabank arena,19800,"43.6435° N,",79.3791° W
12/12/2022,The 1975,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/1/2023,Dave Chappelle,scotiabank arena,19800,"43.6435° N,",79.3791° W
1/28/2023,Old Dominion,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/22/2023,Thomas Rhett,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/3/2023,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/4/2023,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/5/2023,Disney on Ice,scotiabank arena,19800,"43.6435° N,",79.3791° W
2/25/2023,SZA,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/9/2023,Muse,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/12/2023,Journey,scotiabank arena,19800,"43.6435° N,",79.3791° W
3/20/2023,John Mayer,scotiabank arena,19800,"43.6435° N,",79.3791° W
